1.2.2.9 ;Umdæmisstjóri vegagerðar
1.2.2.9 ;Umsjónarfóstra
1.2.2.9 ;Útgáfustjóri (aðallega við stjórnun)
1.2.2.9 ;Varaslökkviliðsstjóri
1.2.2.9 ;Yfirfóstra (aðallega við stjórnun)
1.2.2.9 ;Yfirkennari (aðallega við stjórnun)
1.2.2.9 ;Yfirlandvörður
1.2.2.9 ;Deildarstjóri leigumiðlunar
1.2.2.9 ;Deildarstjóri sambýlis
1.2.2.9 ;Safnstjóri í stofnun eða fyrirtæki
1.2.2.9 ;Yfirmenn framleiðslu- og rekstrardeilda ót.a.s.
1.2.3.1 ;Aðalbókari (aðallega við stjórnun)
1.2.3.1 ;Aðalféhirðir (aðallega við stjórnun)
1.2.3.1 ;Aðalgjaldkeri (aðallega við stjórnun)
1.2.3.1 ;Borgarbókari
1.2.3.1 ;Borgargjaldkeri
1.2.3.1 ;Bæjargjaldkeri
1.2.3.1 ;Deildarstjóri í fjármáladeild
1.2.3.1 ;Fjármálastjóri
1.2.3.1 ;Gjaldheimtustjóri
1.2.3.1 ;Innheimtustjóri
1.2.3.1 ;Ríkisbókari
1.2.3.1 ;Ríkisféhirðir (aðallega við stjórnun)
1.2.3.1 ;Skrifstofustjóri í fjármála- og stjórnunardeild
1.2.3.1 ;Yfirmaður í endurskoðunardeild
1.2.3.1 ;Skrifstofustjóri
1.2.3.1 ;Yfirmenn fjármála- og stjórnunardeilda
1.2.3.1 ;Yfirmenn fjármála- og stjórnunardeilda
1.2.3.2 ;Yfirmenn starfsmannahalds
1.2.3.2 ;Deildarstjóri í starfsmannahaldi
1.2.3.2 ;Ráðningarstjóri
1.2.3.2 ;Skrifstofustjóri í starfsmannahaldi
1.2.3.2 ;Starfsmannastjóri
1.2.3.2 ;Deildarstjóri starfsþróunardeildar
1.2.3.2 ;Yfirmenn starfsmannahalds
1.2.3.3 ;Afgreiðslustjóri (aðallega við stjórnun)
1.2.3.3 ;Deildarstjóri á sölu- og markaðssviði
1.2.3.3 ;Markaðsstjóri
1.2.3.3 ;Skrifstofustjóri á sölu- og markaðssviði
1.2.3.3 ;Sölustjóri (aðallega við stjórnun)
1.2.3.3 ;Sölustjóri (stoðdeild)
1.2.3.3 ;Yfirmenn sölu- og markaðsdeilda
1.2.3.3 ;Yfirmenn sölu- og markaðsdeilda
1.2.3.4 ;Yfirmenn almannatengsla- og auglýsingadeilda
1.2.3.4 ;Auglýsingastjóri (aðallega við stjórnun)
1.2.3.4 ;Deildarstjóri í almannatengslum
1.2.3.4 ;Skrifstofustjóri í almannatengslum
1.2.3.4 ;Yfirmenn almannatengsla- og auglýsingadeilda
1.2.3.5 ;Birgðastjóri (aðallega við stjórnun)
1.2.3.5 ;Deildarstjóri á birgðasviði
1.2.3.5 ;Deildarstjóri á dreifingarsviði
1.2.3.5 ;Deildarstjóri á innheimtusviði
1.2.3.5 ;Deildarstjóri dreifingar- og innkaupadeildar
1.2.3.5 ;Dreifingastjóri (aðallega við stjórnun)
1.2.3.5 ;Flutningastjóri (aðallega við stjórnun)
1.2.3.5 ;Innkaupastjóri (aðallega við stjórnun)
1.2.3.5 ;Lagerstjóri (aðallega við stjórnun)
1.2.3.5 ;Skrifstofustjóri á dreifingarsviði
1.2.3.5 ;Skrifstofustjóri á innkaupasviði
1.2.3.5 ;Skrifstofustjóri á dreifingarsviði
1.2.3.5 ;Yfirmenn innkaupa-, birgða- og dreifingardeilda
1.2.3.5 ;Yfirmenn innkaupa-, birgða- og dreifingardeilda
1.2.3.6 ;Yfirmenn tölvudeilda
1.2.3.6 ;Deildarstjóri tölvudeildar
1.2.3.6 ;Deildarstjóri tölvusviðs
1.2.3.6 ;Yfirmenn tölvudeilda
1.2.3.7 ;Deildarstjóri rannsóknar- og þróunardeildar
1.2.3.7 ;Deildarstjóri rannsóknardeildar
1.2.3.7 ;Deildarstjóri þróunardeildar
1.2.3.7 ;Tilraunastjóri (aðallega við stjórnun)
1.2.3.7 ;Þróunarstjóri (aðallega við stjórnun)
1.2.3.7 ;Yfirmenn rannsóknar- og þróunardeilda
1.2.3.7 ;Yfirmenn rannsóknar- og þróunardeilda
1.2.3.9 ;Yfirmenn annarra deilda ót.a.s.
1.2.3.9 ;Bæjarverkstjóri
1.2.3.9 ;Deildarstjóri stoðdeildar
1.2.3.9 ;Félagsmálastjóri
1.2.3.9 ;Forstöðumaður bílastæðasjóðs
1.2.3.9 ;Forstöðumaður dagvistar (umönnun aldraðra)
1.2.3.9 ;Forstöðumaður dagvistar (umönnun barna)
1.2.3.9 ;Forstöðumaður fasteignastofu
1.2.3.9 ;Forstöðumaður höfuðborgarstofu
1.2.3.9 ;Forstöðumaður íþróttahúss (aðallega við stjórnun)
1.2.3.9 ;Forstöðumaður sundlaugar (aðallega við stjórnun)
1.2.3.9 ;Forstöðumaður umhverfis- og tæknisviðs
1.2.3.9 ;Forstöðumaður vinnuskóla (aðallega við stjórnun)
1.2.3.9 ;Forstöðumaður æskulýðsmiðstöðvar (aðallega við stjórnun)
1.2.3.9 ;Framkvæmdastjóri íþróttaráðs
1.2.3.9 ;Framkvæmdastjóri safns (10 starfsmenn eða fleiri)
1.2.3.9 ;Framkvæmdastjóri skipulagssjóðs
1.2.3.9 ;Framkvæmdastjóri umhverfis- og heilbrigðisstofu
1.2.3.9 ;Hjúkrunarfræðslustjóri
1.2.3.9 ;Ræstingastjóri
1.2.3.9 ;Skipaþjónustustjóri
1.2.3.9 ;Skrifstofustjóri stoðdeildar
1.2.3.9 ;Tollgæslustjóri
1.2.3.9 ;Umhverfisstjóri
1.2.3.9 ;Upplýsingastjóri
1.2.3.9 ;Verkstjóri áhaldahúss (aðallega við stjórnun)
